Year,Exporter,Importer,HSCode,Weight,Value,EstimationMethod,UnitPrice($/kg)
2024,USA,URY,6310,146371.0,53076.0,Original,0.362612813
2024,AUS,CHL,6309,24575.0,9158.892,Original,0.372691434
2024,BEL,TUN,6309,1061450.0,389358.478,Original,0.36681754
2024,BGR,ARE,6309,3616426.0,1350772.591,Original,0.373510364
2024,CHN,BLZ,6309,23353.0,8744.0,Original,0.374427268
2024,EST,SGP,6309,2200.0,811.01,Original,0.368640909
2024,EST,FIN,6310,9372.3,3460.97,Original,0.369276485
2024,DEU,BFA,6309,165837.0,61224.193,Original,0.369182951
2024,HND,BEL,6309,792.62,290.0,Original,0.365875199
2024,HND,PER,6309,453.86,170.0,Original,0.374564844
2024,DEU,POL,6310,990007.35,364867.979,Original,0.368550778
2024,HUN,COG,6309,491610.0,181691.0,Original,0.369583613
2024,JPN,DOM,6309,23000.0,8555.405,Original,0.37197413
2024,KOR,HRV,6309,78.0,29.0,Original,0.371794872
2024,MWI,THA,6309,473.0,174.2,Original,0.368287526
2024,KEN,COD,6310,4522.0,1690.036,Original,0.3737364
2024,MEX,SLV,6310,220140.0,82009.0,Original,0.372531117
2024,PRT,BDI,6309,24360.0,8934.182,Original,0.36675624
2024,SEN,MLI,6309,45000.0,16445.482,Original,0.365455156
2024,IND,GHA,6310,28531.0,10510.218,Original,0.368378886
2024,SWE,MDA,6309,27000.0,10030.624,Original,0.371504593
2024,THA,CIV,6309,1370.0,510.72,Original,0.372788321
2024,TGO,GAB,6309,4040080.0,1476239.791,Original,0.365398653
2024,CHE,ARE,6310,233.638,87.456,Original,0.37432267
2024,TUR,OMN,6309,31630.0,11671.0,Original,0.368985141
2024,TUR,BGR,6310,22314.0,8329.0,Original,0.373263422
2024,BEL,DJI,6309,11420.0,4326.275,Original,0.378833187
2024,BEL,TUR,6310,39527.5,15012.13,Original,0.379789514
2024,CHN,BEN,6309,27979660.0,10508243.0,Original,0.375567216
2024,CHN,LBR,6309,3983545.0,1504654.0,Original,0.377717335
2024,CHN,PNG,6309,5959182.0,2235639.0,Original,0.375158705
2024,HRV,TUR,6309,62511.0,23671.0,Original,0.378669354
2024,CYP,CMR,6309,85980.0,32569.91,Original,0.378807979
2024,DNK,NLD,6309,4126250.0,1576176.256,Original,0.381987581
2024,FIN,UGA,6309,11.0,4.191,Original,0.381
2024,FRA,TCD,6310,128.624,48.707,Original,0.378677385
2024,FRA,CHN,6310,9746.848,3690.917,Original,0.37867801
2024,FRA,HKG,6310,1543.489,584.485,Original,0.378677788
2024,GRC,IND,6309,18760.0,7106.91,Original,0.378833156
2024,HUN,TUN,6309,20000.0,7686.0,Original,0.3843
2024,JPN,IRL,6309,5367.641316,2041.405,Level 2 (Exp Only),0.380316955
2024,JPN,MAC,6309,10613.68669,4036.565,Level 2 (Exp Only),0.380316955
2024,LVA,ARE,6309,1851220.0,711107.885,Original,0.384129323
2024,LUX,BEL,6309,1132974.6,430888.409,Original,0.380316036
2024,NOR,COD,6309,980.0,372.237,Original,0.379833673
2024,NLD,ISR,6310,24493.0,9281.412,Original,0.378941412
2024,PHL,PNG,6310,7890.18,2964.0,Original,0.375656829
2024,IND,ARM,6310,200.0,75.295,Original,0.376475
2024,IND,MAR,6310,29090.0,11145.039,Original,0.383122688
2024,IND,THA,6310,456217.0,172693.122,Original,0.378532852
